week_end,indicator,high_industry,value
13/10/2019,Number of Paid Jobs - 13 days,A Primary,87820
13/10/2019,Number of Paid Jobs - 13 days,B Goods Producing,392950
13/10/2019,Number of Paid Jobs - 13 days,C Services,1538840
13/10/2019,Number of Paid Jobs - 13 days,Total,2043770
13/10/2019,Number of Paid Jobs - 27 days,A Primary,94230
13/10/2019,Number of Paid Jobs - 27 days,B Goods Producing,403230
13/10/2019,Number of Paid Jobs - 27 days,C Services,1619640
13/10/2019,Number of Paid Jobs - 27 days,Total,2144200
20/10/2019,Number of Paid Jobs - 6 days,A Primary,70910
20/10/2019,Number of Paid Jobs - 6 days,B Goods Producing,349220
20/10/2019,Number of Paid Jobs - 6 days,C Services,1249250
20/10/2019,Number of Paid Jobs - 6 days,Total,1686700
20/10/2019,Number of Paid Jobs - 13 days,A Primary,92250
20/10/2019,Number of Paid Jobs - 13 days,B Goods Producing,394510
20/10/2019,Number of Paid Jobs - 13 days,C Services,1528020
20/10/2019,Number of Paid Jobs - 13 days,Total,2038280
20/10/2019,Number of Paid Jobs - 27 days,A Primary,96530
20/10/2019,Number of Paid Jobs - 27 days,B Goods Producing,404160
20/10/2019,Number of Paid Jobs - 27 days,C Services,1619410
20/10/2019,Number of Paid Jobs - 27 days,Total,2150750
27/10/2019,Number of Paid Jobs - 6 days,A Primary,71810
27/10/2019,Number of Paid Jobs - 6 days,B Goods Producing,359860
27/10/2019,Number of Paid Jobs - 6 days,C Services,1213540
27/10/2019,Number of Paid Jobs - 6 days,Total,1661320
27/10/2019,Number of Paid Jobs - 13 days,A Primary,93280
27/10/2019,Number of Paid Jobs - 13 days,B Goods Producing,397530
27/10/2019,Number of Paid Jobs - 13 days,C Services,1562410
27/10/2019,Number of Paid Jobs - 13 days,Total,2074810
27/10/2019,Number of Paid Jobs - 27 days,A Primary,98190
27/10/2019,Number of Paid Jobs - 27 days,B Goods Producing,405560
27/10/2019,Number of Paid Jobs - 27 days,C Services,1625190
27/10/2019,Number of Paid Jobs - 27 days,Total,2157800
03/11/2019,Number of Paid Jobs - 6 days,A Primary,74350
03/11/2019,Number of Paid Jobs - 6 days,B Goods Producing,352780
03/11/2019,Number of Paid Jobs - 6 days,C Services,1259720
03/11/2019,Number of Paid Jobs - 6 days,Total,1704950
03/11/2019,Number of Paid Jobs - 13 days,A Primary,95750
03/11/2019,Number of Paid Jobs - 13 days,B Goods Producing,401260
03/11/2019,Number of Paid Jobs - 13 days,C Services,1574540
03/11/2019,Number of Paid Jobs - 13 days,Total,2100550
03/11/2019,Number of Paid Jobs - 27 days,A Primary,101150
03/11/2019,Number of Paid Jobs - 27 days,B Goods Producing,410450
03/11/2019,Number of Paid Jobs - 27 days,C Services,1642100
03/11/2019,Number of Paid Jobs - 27 days,Total,2185350
10/11/2019,Number of Paid Jobs - 6 days,A Primary,70360
10/11/2019,Number of Paid Jobs - 6 days,B Goods Producing,333660
10/11/2019,Number of Paid Jobs - 6 days,C Services,1175030
10/11/2019,Number of Paid Jobs - 6 days,Total,1594610
10/11/2019,Number of Paid Jobs - 13 days,A Primary,94400
10/11/2019,Number of Paid Jobs - 13 days,B Goods Producing,397820
10/11/2019,Number of Paid Jobs - 13 days,C Services,1564480
10/11/2019,Number of Paid Jobs - 13 days,Total,2077340
10/11/2019,Number of Paid Jobs - 27 days,A Primary,102350
10/11/2019,Number of Paid Jobs - 27 days,B Goods Producing,410850
10/11/2019,Number of Paid Jobs - 27 days,C Services,1643100
10/11/2019,Number of Paid Jobs - 27 days,Total,2180650
17/11/2019,Number of Paid Jobs - 6 days,A Primary,75250
17/11/2019,Number of Paid Jobs - 6 days,B Goods Producing,351170
17/11/2019,Number of Paid Jobs - 6 days,C Services,1165510
17/11/2019,Number of Paid Jobs - 6 days,Total,1608650
17/11/2019,Number of Paid Jobs - 13 days,A Primary,98950
17/11/2019,Number of Paid Jobs - 13 days,B Goods Producing,405300
17/11/2019,Number of Paid Jobs - 13 days,C Services,1560820
17/11/2019,Number of Paid Jobs - 13 days,Total,2087410
17/11/2019,Number of Paid Jobs - 27 days,A Primary,105390
17/11/2019,Number of Paid Jobs - 27 days,B Goods Producing,414680
